country,count
United States,266599
Argentina,2400
Ghana,72
Oman,4
Angola,13
Namibia,72
Botswana,38
Indonesia,107
China,1053
Gabon,15
Kenya,23
Algeria,225
Burma,92
Congo (Brazzaville),11
Egypt,200
India,781
"Korea, South",122
Iran,411
Israel,26
Cote D'Ivoire,23
Morocco,119
Malaysia,111
Mozambique,30
Pakistan,48
Philippines,359
Tanzania,65
Mali,23
Turkey,254
Peru,3055
Bolivia,1661
Mexico,4763
Canada,1551
Costa Rica,452
Russia,1394
Brazil,2078
Kazakhstan,284
Germany,181
Slovenia,11
Austria,38
France,481
United Kingdom,103
Spain,174
Tunisia,67
Zimbabwe,262
South Africa,705
Australia,1195
Azerbaijan,12
Sweden,106
Norway,80
Bulgaria,30
Hungary,40
Western Sahara,4
Burkina Faso,15
Uganda,27
New Zealand,209
Denmark,16
Somalia,165
Mauritania,11
Niger,15
Senegal,13
Sierra Leone,24
Togo,7
Zambia,112
Cyprus,13
Iraq,49
Japan,415
Jordan,17
Taiwan,39
Thailand,253
Guinea,30
Congo (Kinshasa),112
Mongolia,14
Guatemala,191
Poland,59
Laos,244
Italy,137
Guyana,584
Jamaica,357
Venezuela,637
Fiji,10
Suriname,152
Cameroon,10
Solomon Islands,3
Ireland,24
Malawi,12
Afghanistan,33
Finland,84
Sri Lanka,16
Chile,4081
Bosnia and Herzegovina,26
Montenegro,7
Libya,55
Saudi Arabia,39
Uzbekistan,60
Greece,64
Ecuador,591
Serbia,41
Ethiopia,40
Slovakia,21
Albania,45
Czech Republic,33
Romania,43
Ukraine,109
Macedonia,16
Colombia,1016
Cuba,450
Burundi,9
"Korea, North",15
Syria,9
Estonia,4
Nauru,4
Portugal,33
Papua New Guinea,82
Georgia,21
Tajikistan,37
Kyrgyzstan,40
Armenia,22
Madagascar,62
Swaziland,11
Honduras,262
Haiti,68
Dominican Republic,106
Sudan,14
Panama,287
Belize,9
El Salvador,39
Nicaragua,66
Uruguay,258
Saint Kitts and Nevis,8
Saint Vincent and the Grenadines,1
Saint Lucia,10
Dominica,2
Antigua and Barbuda,6
"Bahamas, the",6
"Bahamas, The",1
Netherlands,17
Barbados,1
Paraguay,48
Cambodia,52
Vietnam,33
Lesotho,2
Liberia,17
Vanuatu,1
Palau,1
Antarctica,2
Rwanda,4
Croatia,8
Turkmenistan,6
Nigeria,14
Belgium,22
Belarus,4
Qatar,1
Benin,2
Bangladesh,3
Nepal,3
Lebanon,1
Switzerland,3
Luxembourg,3
United Arab Emirates,1
Singapore,1
Lithuania,1
Trinidad and Tobago,1
Bahrain,1
"Gambia, the",1
Iceland,1
"Russia, Kazakhstan",1